# Quasar data set provided bei Risaliti & Lusso, Nature Astronomy, 2018. See also companion publication
# xz       xlo        xlx        xfo        xfx         xefx      namex               
  0.7292   30.52366   26.78491   -26.8603   -30.59905   0.00836   002303.15+011533.6  
  0.7337   30.17857   26.20923   -27.2119   -31.18124   0.04842   013418.86-001406.2  
  0.7339   30.0323    26.37432   -27.3584   -31.01638   0.01084   122830.46+123617.8  
  0.7352   29.91124   26.23534   -27.4814   -31.1573    0.04466   203954.61-003924.2  
  0.7416   30.16438   26.10175   -27.2374   -31.30003   0.03071   154554.41+021944.4  
  0.7577   30.58465   26.61553   -26.8401   -30.80922   0.03613   150319.42+475206.8  
  0.7637   30.5365    27.05117   -26.8967   -30.38203   0.03346   080844.12+385053.4  
  0.7658   30.26652   26.14919   -27.1696   -31.28693   0.01478   122525.12+333650.7  
  0.767    30.06321   26.42085   -27.3745   -31.01686   0.01664   100001.44+024844.6  
  0.7694   29.78189   26.10786   -27.6592   -31.33323   0.01938   022838.62+003320.1  
  0.7718   30.26375   26.06269   -27.1806   -31.38166   0.03371   122931.19+015248.0  
  0.7742   29.73313   26.07219   -27.7146   -31.37554   0.02611   030220.46+001937.4  
  0.7743   30.54784   26.65555   -26.9      -30.7923    0.00773   153931.29+171714.1  
  0.7918   31.10036   26.66127   -26.3713   -30.81039   0.01706   090420.88+013038.0  
  0.794    30.18558   26.48205   -27.2891   -30.99263   0.01791   125711.97+274216.4  
  0.8024   30.35173   26.17079   -27.1341   -31.31504   0.01944   151224.59+053818.5  
  0.803    30.54316   26.61002   -26.9435   -30.87663   0.03544   233139.32-001516.7  
  0.8037   30.23243   26.6971    -27.2552   -30.79053   0.0217    123035.47+153510.7  
  0.8042   29.35327   26.02576   -28.135    -31.46252   0.0321    092240.77+010025.0  
  0.8075   30.46291   26.63897   -27.0297   -30.85364   0.02518   221821.88-081329.8  
  0.8115   30.28724   26.55391   -27.2107   -30.94403   0.02323   151535.47+365549.6  
  0.8149   30.21684   26.2572    -27.2856   -31.24523   0.02648   163219.28+243259.5  
  0.8159   30.25769   26.52749   -27.246    -30.9762    0.01059   155726.57+270223.0  
  0.8222   30.02093   26.27208   -27.491    -31.23984   0.02993   024135.69-000858.6  
  0.8253   30.41197   26.24468   -27.104    -31.27129   0.01818   122518.24+181821.6  
  0.8258   30.37041   26.45973   -27.1462   -31.05688   0.03209   092424.32+302849.5  
  0.8304   30.12437   25.77717   -27.3982   -31.7454    0.04701   143353.08+354928.4  
  0.8325   29.59197   25.93724   -27.9333   -31.58803   0.02753   091843.66+211819.8  
  0.8357   30.20468   26.1066    -27.3247   -31.42278   0.04498   113224.00+525157.6  
  0.8366   30.08757   26.22901   -27.443    -31.30155   0.02743   121102.07+390706.3  
  0.8392   30.22376   26.56981   -27.31     -30.96396   0.01245   123101.07+011844.9  
  0.8404   30.83486   26.7897    -26.7005   -30.74566   0.01365   123038.05+162541.0  
  0.8419   30.14326   26.38511   -27.394    -31.15215   0.04748   231733.66+001128.3  
  0.842    30.04921   26.17355   -27.4882   -31.36386   0.03546   133735.66+520530.7  
  0.8431   30.18788   26.24243   -27.3509   -31.29635   0.02365   101755.29+390430.7  
  0.8449   30.42573   26.73443   -27.1154   -30.80669   0.04155   145407.20+163442.3  
  0.8458   30.01074   26.30294   -27.5314   -31.2392    0.02292   021514.83-003905.0  
  0.8475   30.1971    26.85203   -27.3473   -30.69238   0.01767   134636.51+474724.5  
  0.851    30.23817   26.44869   -27.3106   -31.10008   0.01433   104911.79+510804.2  
  0.8546   30.3944    26.62416   -27.1589   -30.92914   0.02776   134446.09+340533.5  
  0.8565   29.52878   26.23074   -28.0269   -31.32494   0.0234    143052.82+324439.9  
  0.8597   30.06317   26.3065    -27.4965   -31.25317   0.02106   075821.01+375533.2  
  0.8626   29.85852   26.07109   -27.7047   -31.49213   0.02846   164733.23+350541.6  
  0.8649   29.94941   26.19232   -27.6167   -31.37379   0.02147   021601.11+003727.2  
  0.8653   30.50637   26.74499   -27.0602   -30.82158   0.02876   171029.47+590834.8  
  0.8672   30.33025   26.14193   -27.2387   -31.42702   0.03574   083857.85+193335.7  
  0.8743   30.63362   26.5202    -26.9441   -31.05753   0.021     131942.39+552233.1  
  0.8752   30.3997    26.77913   -27.1791   -30.79968   0.01436   134323.65+001223.3  
  0.8761   30.11422   26.49252   -27.4657   -31.0874    0.02331   094821.74+551938.0  
