# i 	 tau 	 accepted
  25 	 2.6528725099977915 	 0.3888000000000001 
  50 	 5.509165238120508 	 0.41296000000000005 
  75 	 8.28628557749041 	 0.42077333333333333 
 100 	 10.813101331839615 	 0.42794 
 125 	 12.879601829634039 	 0.43564800000000004 
 150 	 14.864298004802844 	 0.44054666666666664 
 175 	 16.945804508959476 	 0.44277714285714287 
 200 	 18.859326066591805 	 0.44454999999999995 
 225 	 20.642861367589937 	 0.44664888888888893 
 250 	 22.416287873039984 	 0.448848 
 275 	 24.275706510350293 	 0.4496145454545455 
 300 	 25.920548136349588 	 0.4502933333333333 
 325 	 27.59169810873268 	 0.4516369230769231 
 350 	 29.22408792344487 	 0.45251428571428576 
 375 	 30.70032131115327 	 0.45294933333333337 
 400 	 32.144669389221846 	 0.453675 
 425 	 33.579745398580314 	 0.4541411764705882 
 450 	 34.96142725572132 	 0.4544222222222223 
 475 	 36.23326292935269 	 0.45456421052631585 
 500 	 37.47915082297598 	 0.45434 
 525 	 38.66127422770673 	 0.45500190476190483 
 550 	 39.76759003372149 	 0.4553090909090909 
 575 	 40.783015466163654 	 0.4553147826086956 
 600 	 41.76881490675056 	 0.4554866666666667 
 625 	 42.80588042602061 	 0.4558048 
 650 	 43.62627688664106 	 0.45626153846153844 
 675 	 44.47161660402682 	 0.4563051851851852 
 700 	 45.32161204975624 	 0.4563257142857143 
 725 	 46.137012131977286 	 0.45663724137931033 
 750 	 46.95771194661589 	 0.45636800000000005 
 775 	 47.7989204352656 	 0.45645677419354835 
 800 	 48.625827497607176 	 0.45642499999999997 
 825 	 49.378090391118675 	 0.45641696969696965 
 850 	 50.07159124430983 	 0.4565364705882354 
 875 	 50.72869146616184 	 0.4568137142857143 
 900 	 51.39478264984872 	 0.45705111111111113 
 925 	 52.05305846978155 	 0.456854054054054 
 950 	 52.6817210168894 	 0.4569852631578947 
 975 	 53.26106969805343 	 0.4571364102564103 
1000 	 53.8196129737755 	 0.457272 
